1 3 5
104 2.55693 4.29749
105 2.5499 4.29642
106 2.54286 4.2955
107 2.53581 4.29471
108 2.52875 4.29406
109 2.52169 4.29356
110 2.51462 4.2932
111 2.50755 4.29297
112 2.50048 4.29289
113 2.49341 4.29295
114 2.48634 4.29316
115 2.47928 4.2935
116 2.47221 4.29399
117 2.46516 4.29461
118 2.4581 4.29538
119 2.45106 4.29629
120 2.44403 4.29734
121 2.43701 4.29853
122 2.43 4.29986
123 2.42301 4.30133
124 2.41603 4.30294
125 2.40907 4.30469
126 2.40212 4.30657
127 2.3952 4.3086
128 2.38829 4.31077
129 2.38141 4.31307
130 2.37455 4.31551
131 2.36772 4.31809
132 2.36092 4.3208
133 2.35414 4.32365
134 2.34739 4.32663
135 2.34067 4.32975
136 2.33398 4.33301
137 2.32733 4.33639
138 2.32071 4.33991
139 2.31413 4.34357
140 2.30758 4.34735
141 2.30108 4.35126
142 2.29461 4.35531
143 2.28818 4.35948
144 2.2818 4.36378
145 2.27546 4.36821
146 2.26916 4.37276
147 2.26291 4.37744
148 2.25671 4.38224
149 2.25056 4.38717
150 2.24445 4.39222
151 2.2384 4.39739
152 2.2324 4.40269
153 2.22646 4.4081
154 2.22056 4.41363
155 2.21473 4.41927
156 2.20895 4.42504
157 2.20323 4.43092
158 2.19757 4.43691
159 2.19197 4.44301
160 2.18643 4.44923
161 2.18095 4.45556
162 2.17554 4.46199
163 2.17019 4.46854
164 2.16491 4.47518
165 2.1597 4.48194
166 2.15455 4.4888
167 2.14947 4.49576
168 2.14446 4.50282
169 2.13953 4.50998
170 2.13466 4.51724
171 2.12987 4.52459
172 2.12516 4.53204
173 2.12051 4.53959
174 2.11595 4.54722
175 2.11146 4.55495
176 2.10705 4.56276
177 2.10271 4.57067
178 2.09846 4.57865
179 2.09429 4.58673
180 2.09019 4.59488
181 2.08618 4.60312
182 2.08226 4.61144
183 2.07841 4.61983
184 2.07465 4.6283
185 2.07098 4.63684
186 2.06739 4.64546
187 2.06389 4.65415
188 2.06047 4.6629
189 2.05715 4.67173
190 2.05391 4.68062
191 2.05076 4.68957
192 2.0477 4.69859
193 2.04473 4.70766
194 2.04185 4.7168
195 2.03907 4.72599
196 2.03637 4.73524
197 2.03377 4.74454
198 2.03126 4.75389
199 2.02885 4.76328
200 2.02653 4.77273
201 2.0243 4.78222
202 2.02217 4.79176
203 2.02014 4.80134
204 2.0182 4.81095
205 2.01636 4.82061
206 2.01461 4.8303
207 2.01296 4.84002
208 2.01141 4.84978
209 2.00996 4.85957
210 2.0086 4.86938
211 2.00735 4.87922
212 2.00619 4.88909
213 2.00513 4.89898
214 2.00417 4.90888
215 2.00331 4.91881
216 2.00254 4.92875
217 2.00188 4.93871
218 2.00132 4.94868
219 2.00085 4.95865
220 2.00049 4.96864
221 2.00023 4.97864
222 2.00006 4.98863
223 2 4.99863
224 2.00004 5.00863
225 2.00017 5.01863
226 2.00041 5.02863
227 2.00075 5.03861
228 2.00118 5.0486
229 2.00172 5.05857
230 2.00235 5.06853
231 2.00309 5.07847
232 2.00392 5.0884
233 2.00486 5.09832
234 2.00589 5.10821
235 2.00702 5.11808
236 2.00825 5.12793
237 2.00958 5.13775
238 2.01101 5.14755
239 2.01253 5.15731
240 2.01415 5.16704
241 2.01587 5.17674
242 2.01769 5.18641
243 2.0196 5.19604
244 2.02161 5.20563
245 2.02371 5.21517
246 2.02591 5.22468
247 2.0282 5.23414
248 2.03059 5.24355
249 2.03308 5.25291
250 2.03565 5.26223
251 2.03832 5.27149
252 2.04108 5.28069
253 2.04393 5.28984
254 2.04688 5.29894
255 2.04991 5.30797
256 2.05304 5.31694
257 2.05625 5.32585
258 2.05955 5.33469
259 2.06295 5.34346
260 2.06642 5.35217
261 2.06999 5.36081
262 2.07364 5.36937
263 2.07738 5.37786
264 2.0812 5.38628
265 2.0851 5.39461
266 2.08909 5.40287
267 2.09316 5.41105
268 2.09731 5.41915
269 2.10154 5.42716
270 2.10585 5.43508
271 2.11024 5.44292
272 2.11471 5.45067
273 2.11926 5.45834
274 2.12388 5.4659
275 2.12858 5.47338
276 2.13335 5.48076
277 2.13819 5.48805
278 2.14311 5.49523
279 2.1481 5.50232
280 2.15315 5.50931
281 2.15828 5.5162
282 2.16348 5.52298
283 2.16874 5.52966
284 2.17407 5.53623
285 2.17947 5.54269
286 2.18492 5.54905
287 2.19045 5.5553
288 2.19603 5.56143
289 2.20168 5.56746
290 2.20738 5.57337
291 2.21314 5.57916
292 2.21896 5.58484
293 2.22484 5.5904
294 2.23077 5.59585
295 2.23676 5.60117
296 2.24279 5.60638
297 2.24888 5.61146
298 2.25502 5.61642
299 2.26121 5.62126
300 2.26745 5.62597
301 2.27373 5.63056
302 2.28006 5.63502
303 2.28643 5.63936
304 2.29285 5.64357
305 2.2993 5.64764
306 2.3058 5.65159
307 2.31234 5.65541
308 2.31891 5.6591
309 2.32552 5.66266
310 2.33216 5.66608
311 2.33884 5.66937
312 2.34555 5.67253
313 2.35229 5.67555
314 2.35906 5.67843
315 2.36586 5.68119
316 2.37268 5.6838
317 2.37953 5.68628
318 2.38641 5.68862
319 2.39331 5.69082
320 2.40023 5.69289
321 2.40716 5.69481
322 2.41412 5.6966
323 2.4211 5.69825
324 2.42809 5.69976
325 2.43509 5.70112
326 2.44211 5.70235
327 2.44914 5.70344
328 2.45618 5.70439
329 2.46323 5.70519
330 2.47028 5.70586
331 2.47734 5.70638
332 2.48441 5.70676
333 2.49148 5.70701
334 2.49855 5.7071
335 2.50562 5.70706
336 2.51269 5.70688
337 2.51976 5.70656
338 2.52682 5.70609
339 2.53388 5.70548
340 2.54093 5.70473
341 2.54797 5.70385
342 2.55501 5.70282
343 2.56203 5.70165
344 2.56904 5.70033
345 2.57604 5.69888
346 2.58302 5.69729
347 2.58998 5.69556
348 2.59693 5.69369
349 2.60386 5.69169
350 2.61076 5.68954
351 2.61765 5.68726
352 2.62451 5.68483
353 2.63135 5.68227
354 2.63815 5.67958
355 2.64494 5.67675
356 2.65169 5.67378
357 2.65841 5.67068
358 2.6651 5.66745
359 2.67176 5.66408
360 2.67838 5.66058
361 2.68497 5.65694
362 2.69152 5.65318
363 2.69804 5.64928
364 2.70451 5.64525
365 2.71094 5.6411
366 2.71733 5.63682
367 2.72368 5.63241
368 2.72998 5.62787
369 2.73624 5.62321
370 2.74244 5.61842
371 2.7486 5.61351
372 2.75471 5.60848
373 2.76077 5.60332
374 2.76678 5.59805
375 2.77273 5.59265
376 2.77863 5.58714
377 2.78448 5.5815
378 2.79026 5.57576
379 2.79599 5.56989
380 2.80166 5.56392
381 2.80727 5.55783
382 2.81282 5.55163
383 2.8183 5.54532
384 2.82372 5.53889
385 2.82908 5.53237
386 2.83437 5.52573
387 2.8396 5.51899
388 2.84475 5.51215
389 2.84984 5.5052
390 2.85486 5.49815
391 2.8598 5.49101
392 2.86468 5.48376
393 2.86948 5.47642
394 2.8742 5.46898
395 2.87886 5.46145
396 2.88343 5.45383
397 2.88793 5.44611
398 2.89236 5.43831
399 2.8967 5.43042
400 2.90096 5.42244
401 2.90515 5.41438
402 2.90925 5.40624
403 2.91327 5.39801
404 2.91721 5.38971
405 2.92107 5.38132
406 2.92484 5.37286
407 2.92852 5.36433
408 2.93212 5.35572
409 2.93564 5.34704
410 2.93907 5.3383
411 2.9424 5.32948
