1 3 5
147 2.30684 2.01124
148 2.00797 2.04987
149 1.71295 2.14828
150 1.42778 2.30569
151 1.15835 2.52013
152 0.910364 2.78846
153 0.68921 3.10639
154 0.499848 3.46855
155 0.346703 3.86858
156 0.23356 4.29924
157 0.163484 4.75252
158 0.138736 5.21983
159 0.160719 5.69208
160 0.229927 6.15994
161 0.34592 6.61395
162 0.507315 7.04477
163 0.711792 7.4433
164 0.956122 7.80094
165 1.23622 8.10972
166 1.54719 8.36248
167 1.88344 8.55304
168 2.23874 8.67635
169 2.60638 8.7286
170 2.97924 8.70733
171 3.34997 8.61148
172 3.71112 8.44149
173 4.05527 8.19926
174 4.37519 7.88821
175 4.66401 7.51317
176 4.91533 7.08037
177 5.12337 6.5973
178 5.2831 6.07263
179 5.39036 5.51601
180 5.44196 4.93794
181 5.43576 4.34955
182 5.37071 3.7624
183 5.24695 3.18825
184 5.06578 2.63886
185 4.82966 2.12571
186 4.54223 1.65978
187 4.20821 1.25133
188 3.83334 0.909687
189 3.42431 0.643019
190 2.98861 0.458156
191 2.53443 0.360433
192 2.07047 0.353548
193 1.60583 0.439453
194 1.14977 0.618288
195 0.711602 0.888333
196 0.300435 1.24601
197 -0.0749639 1.68593
198 -0.406371 2.20092
199 -0.686279 2.78219
200 -0.90806 3.41945
201 -1.06612 4.10106
202 -1.15601 4.81428
203 -1.17458 5.54549
204 -1.12003 6.2804
205 -0.991992 7.00441
206 -0.791551 7.70281
207 -0.521271 8.36112
208 -0.185159 8.96537
209 0.211378 9.5024
210 0.661618 9.96013
211 1.15763 10.3278
212 1.69041 10.5963
213 2.25004 10.7582
214 2.82586 10.8082
215 3.40668 10.743
216 3.98098 10.5617
217 4.53715 10.2655
218 5.0637 9.85805
219 5.5495 9.34532
220 5.98403 8.73542
221 6.35757 8.03861
222 6.66143 7.26709
223 6.88814 6.43481
224 7.03163 5.55718
225 7.08734 4.65085
226 7.05243 3.73338
227 6.92577 2.8229
228 6.70806 1.93775
229 6.40183 1.09613
230 6.01144 0.315768
231 5.54302 -0.386521
232 5.00437 -0.995125
233 4.40486 -1.496
234 3.75526 -1.87697
235 3.06756 -2.12802
236 2.35476 -2.24153
237 1.6306 -2.21249
238 0.909356 -2.03861
239 0.205495 -1.72048
240 -0.466552 -1.26158
241 -1.09271 -0.668266
242 -1.65954 0.0502763
243 -2.15451 0.882184
244 -2.56629 1.81309
245 -2.88498 2.82634
246 -3.10235 3.90334
247 -3.21201 5.02381
248 -3.20963 6.16621
249 -3.09301 7.30814
250 -2.8622 8.42674
251 -2.51952 9.49918
252 -2.06961 10.5031
253 -1.5193 11.417
